Running Processes:
PID: 0, Name: System Idle Process, Username: NT AUTHORITY\SYSTEM
PID: 7520, Name: svchost.exe, Username: ASHISH\hp
PID: 7524, Name: FileCoAuth.exe, Username: ASHISH\hp
PID: 7656, Name: SynTPEnh.exe, Username: ASHISH\hp
PID: 8148, Name: TrustedInstaller.exe, Username: None
PID: 8308, Name: Code.exe, Username: ASHISH\hp
PID: 8348, Name: ShellExperienceHost.exe, Username: ASHISH\hp
PID: 8404, Name: RtkNGUI64.exe, Username: ASHISH\hp
PID: 8456, Name: Code.exe, Username: ASHISH\hp
PID: 8504, Name: svchost.exe, Username: None
PID: 8512, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 8644, Name: svchost.exe, Username: ASHISH\hp
PID: 8700, Name: svchost.exe, Username: None
PID: 8728, Name: sihost.exe, Username: ASHISH\hp
PID: 8812, Name: svchost.exe, Username: None
PID: 8896, Name: chrome.exe, Username: ASHISH\hp
PID: 9164, Name: Code.exe, Username: ASHISH\hp
PID: 9176, Name: svchost.exe, Username: None
PID: 9232, Name: chrome.exe, Username: ASHISH\hp
PID: 9336, Name: svchost.exe, Username: None
PID: 9396, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 9460, Name: svchost.exe, Username: ASHISH\hp
PID: 9472, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 9476, Name: SecurityHealthService.exe, Username: None
PID: 9800, Name: svchost.exe, Username: None
PID: 9980, Name: svchost.exe, Username: None
PID: 9988, Name: svchost.exe, Username: None
PID: 10164, Name: chrome.exe, Username: ASHISH\hp
PID: 10196, Name: SgrmBroker.exe, Username: None
PID: 10324, Name: svchost.exe, Username: None
PID: 10484, Name: AdobeARM.exe, Username: ASHISH\hp
PID: 10512, Name: SystemSettings.exe, Username: ASHISH\hp
PID: 10592, Name: LockApp.exe, Username: ASHISH\hp
PID: 10608, Name: Code.exe, Username: ASHISH\hp
PID: 10652, Name: SearchProtocolHost.exe, Username: ASHISH\hp
PID: 10852, Name: UserOOBEBroker.exe, Username: ASHISH\hp
PID: 10872, Name: conhost.exe, Username: ASHISH\hp
PID: 11348, Name: SearchApp.exe, Username: ASHISH\hp
PID: 11448, Name: RuntimeBroker.exe, Username: ASHISH\hp
PID: 11484, Name: SearchFilterHost.exe, Username: None
PID: 11492, Name: vlc.exe, Username: ASHISH\hp
PID: 11516, Name: ApplicationFrameHost.exe, Username: ASHISH\hp
PID: 11652, Name: cmd.exe, Username: ASHISH\hp
PID: 11732, Name: explorer.exe, Username: ASHISH\hp
PID: 11740, Name: jusched.exe, Username: ASHISH\hp
PID: 11772, Name: Code.exe, Username: ASHISH\hp
PID: 11780, Name: chrome.exe, Username: ASHISH\hp
PID: 11996, Name: dllhost.exe, Username: ASHISH\hp
PID: 12016, Name: audiodg.exe, Username: None
PID: 12196, Name: svchost.exe, Username: None
PID: 12248, Name: CompPkgSrv.exe, Username: ASHISH\hp
PID: 12292, Name: svchost.exe, Username: None
PID: 12396, Name: Code.exe, Username: ASHISH\hp
PID: 12812, Name: winlogon.exe, Username: None
PID: 13240, Name: dwm.exe, Username: None
PID: 13248, Name: igfxEM.exe, Username: ASHISH\hp
